COD_ROD;KM_ini.1;KM_FIM;Dist;Geo2
SP 008;83;87,9;4,9;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5335569,-23.0224209],[-46.5321359,-23.0193999],[-46.5315839,-23.0186259],[-46.5291189,-23.0160789],[-46.5280439,-23.0149719],[-46.5284939,-23.0135999],[-46.5282919,-23.0130829],[-46.5277769,-23.0129679],[-46.5271409,-23.0132549],[-46.5264119,-23.0132239],[-46.5259869,-23.0117759],[-46.5259719,-23.0109289],[-46.5259449,-23.0093879],[-46.5278019,-23.0082269],[-46.5300169,-23.0056509],[-46.5305009,-23.0053999],[-46.5307339,-23.0054509],[-46.5311649,-23.0055409],[-46.5317079,-23.0052199],[-46.5316369,-23.0047429],[-46.5302359,-23.0041999],[-46.5321749,-22.9998169],[-46.5321669,-22.9998079],[-46.5315679,-22.9991959],[-46.5295609,-22.9990959],[-46.5292599,-22.9970879],[-46.5288199,-22.9959149],[-46.5289159,-22.9949999]]]}"
SP 008;87,9;91;3,1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5289159,-22.9949999],[-46.5300199,-22.9917479],[-46.5334949,-22.9908209],[-46.5342379,-22.9898569],[-46.5346439,-22.9877999],[-46.5346629,-22.9861629],[-46.5336249,-22.9849949],[-46.5327519,-22.9823199],[-46.5328869,-22.9808989],[-46.5354789,-22.9750449],[-46.5395239,-22.9695389],[-46.5424499,-22.9674539],[-46.5431789,-22.9668359],[-46.5432099,-22.9656649],[-46.5426469,-22.9617979],[-46.5446729,-22.9575219],[-46.544917,-22.955369]]]}"
SP 008;91;91,3;0,3;"{""type"":""MultiLineString"",""coordinates"":[[[-46.544917,-22.955369],[-46.5451579,-22.9532439],[-46.5467199,-22.9532919],[-46.5468749,-22.9531499],[-46.5471019,-22.9531019],[-46.5472739,-22.9531749]]]}"
SP 008;91,3;94;2,7;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5472739,-22.9531749],[-46.5475529,-22.9533089],[-46.5483599,-22.9529079],[-46.5527779,-22.9504199],[-46.5529869,-22.9502779],[-46.5545689,-22.9492339],[-46.5562569,-22.9485049],[-46.5566909,-22.9480829],[-46.5568759,-22.9476549],[-46.5569409,-22.9465699],[-46.5563359,-22.9443789],[-46.5563219,-22.9437799],[-46.5563309,-22.9435009],[-46.5565979,-22.9358069],[-46.5564929,-22.9347329]]]}"
SP 008;94;95,033;1,033;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5564929,-22.9347329],[-46.5566429,-22.9340139],[-46.5566179,-22.9333919],[-46.5563779,-22.9325449],[-46.5540079,-22.9272499],[-46.5534879,-22.9260919]]]}"
SP 008;95,033;96,678;1,645;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5534879,-22.9260919],[-46.5498799,-22.9180709],[-46.5491769,-22.9165089],[-46.5485799,-22.9155269],[-46.5484139,-22.9148089],[-46.5473529,-22.9124719]]]}"
SP 008;96,678;98,99;2,312;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5473529,-22.9124719],[-46.5461479,-22.9097409],[-46.5428499,-22.9022519],[-46.5426309,-22.9011979],[-46.5426279,-22.9011849],[-46.5425739,-22.9001479],[-46.5428079,-22.8945179],[-46.5425149,-22.8933359],[-46.5420079,-22.8922679]]]}"
SP 008;98,99;105,39;6,4;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5420079,-22.8922679],[-46.5419659,-22.8921849],[-46.5379839,-22.8837999],[-46.5340889,-22.8755959],[-46.5340319,-22.8754019],[-46.5338859,-22.8749079],[-46.5337879,-22.8741809],[-46.5337939,-22.8734289],[-46.5339059,-22.8726919],[-46.5341169,-22.8720049],[-46.5362249,-22.8666479],[-46.5378999,-22.8623929],[-46.5386089,-22.8607969],[-46.5391319,-22.8601809],[-46.5402999,-22.8593479],[-46.5409809,-22.8589189],[-46.5422419,-22.8581219],[-46.5426019,-22.8577279],[-46.5428499,-22.8571989],[-46.5448029,-22.8507939],[-46.5459369,-22.8470719],[-46.5462099,-22.8465259],[-46.5465869,-22.8460249],[-46.5470769,-22.8455729],[-46.5490159,-22.8441179],[-46.5496599,-22.8435019],[-46.5498039,-22.8432569],[-46.5501579,-22.8426509],[-46.5512059,-22.8399359]]]}"
SP 008;105,39;109,05;3,66;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5512059,-22.8399359],[-46.5516949,-22.8387259],[-46.5522949,-22.8380899],[-46.5553929,-22.8369499],[-46.5563589,-22.8365939],[-46.5569579,-22.8359059],[-46.5572369,-22.8350249],[-46.5581909,-22.8305659],[-46.5583399,-22.8296949],[-46.5583249,-22.8293459],[-46.5583009,-22.8288209],[-46.5580889,-22.8279419],[-46.5576499,-22.8271409],[-46.5561019,-22.8258729],[-46.5544309,-22.8233909],[-46.5537939,-22.8227449],[-46.5532769,-22.8225689],[-46.5528889,-22.8224369],[-46.5509689,-22.8220429],[-46.5501079,-22.8215489],[-46.5482029,-22.8191679],[-46.5477689,-22.8184479],[-46.5471529,-22.8169249],[-46.5469929,-22.8165239]]]}"
SP 008;109,05;113,15;4,1;"{""type"":""MultiLineString"",""coordinates"":[[[-46.5469929,-22.8165239],[-46.5466209,-22.8160289],[-46.5466579,-22.8157049],[-46.5491909,-22.8102509],[-46.5496469,-22.8095189],[-46.5501639,-22.8088719],[-46.5517939,-22.8068429],[-46.5539609,-22.8049359],[-46.5544899,-22.8041649],[-46.5546639,-22.8014129],[-46.5551629,-22.7934639],[-46.5554129,-22.7926209],[-46.5554939,-22.7925249],[-46.5594679,-22.7879279],[-46.5599719,-22.7849389],[-46.5600059,-22.7848969],[-46.5608529,-22.7838049]]]}"
